Company Name,Description,Link
Veriti,"Israel, SaaS",
Virta Health,Consumer,
Volley,Gaming,
Walnut,"Israel, SaaS",
Warmly,SaaS,
Wave,"Fintech, Israel, Crypto",
WhatNot,Marketplaces,
Wonderhill,Gaming,
Worthy,"Marketplaces, Consumer",
Xternity,"Gaming, Crypto, Israel",
Yo-Egg,Israel,
Zengaming,"Gaming, Israel",
Zubale,"LatAm, Marketplaces",
fidu,"LatAm, Fintech, SaaS",
lastminute.com,Marketplaces,
withco,"PropTech, Marketplaces",
